original	corrected	count
Savaşı’nm	Savaşı’nın	1
davramş	davranış	1
Başkomutani	Başkomutanı	1
Komutani	Komutanı	1
sinırı	sınırı	1
kumandasinda	kumandasında	1
Işkodra	İşkodra	1
Yunanlilara	Yunanlılara	1
enirini	emrini	1
şaşkm	şaşkın	1
arasmdan	arasından	1
Toplarm	Toplam	1
başkanmın	başkanının	1
Yanmdan	Yanından	1
yaklaşmca	yaklaşınca	1
tarafmda	tarafında	1
düşmamn	düşmanın	1
altma	altına	1
başmdan	başından	1
yamndan	yanından	1
araşma	arasına	1
inakta	makta	1
lerie	leme	1
