original	corrected	count
hirpalanmasina	hırpalanmasına	1
almamişlardi16	almamışlardı16	1
ımalı	mali	1
uygulamalan	uygulamaları	1
bulunulmasi	bulunulması	1
Hiristiyanlarla	Hıristiyanlarla	1
yaşamalarina	yaşamalarına	1
kalanindan	kalanından	1
uzaklaştilar	uzaklaştılar	1
davalarin	davaların	1
oraninda	oranında	1
hatiri	hatırı	1
mallarina	mallarına	1
konulmasi	konulması	1
askiya	askıya	1
alinmışti	alınmıştı	1
cezalari	cezaları	1
zorundaydilar	zorundaydılar	1
kiyafet	kıyafet	1
cezasina	cezasına	1
davalari	davaları	1
pahaliya	pahalıya	1
aktarir	aktarır	1
yilina	yılına	1
düşmanlik	düşmanlık	1
yilindan	yılından	1
azalmasina	azalmasına	1
saldiriyla	saldırıyla	1
Kralliği'nda	Krallığı'nda	1
birakilmışlardi	bırakılmışlardı	1
meblağin	meblağın	1
karıliğinda	karılığında	1
çarptirilmamak	çarptırılmamak	1
patliyordu	patlıyordu	1
karilamalari	karilamaları	1
mahvina	mahvına	1
alfaquilerden	alfaquılerden	1
yaşanmamıtir	yaşanmamıtır	1
Kralliği’ndan	Krallığı’ndan	1
Isyancilar	İsyancılar	1
kalir	kalır	1
yenigemilere	yeniçerilere	1
yapilir	yapılır	1
tarian	tarım	1
aralarindan	aralarından	1
kürege	küreğe	1
çıkartilir	çıkartılır	1
batmamiş	batmamış	1
sağlamdir	sağlamdır	1
kilik	kılık	1
sayisi	sayısı	1
korunmasi	korunması	1
lmüş	muş	1
kurbani	kurbanı	1
Ilgili	İlgili	1
imzalandi	imzalandı	1
açıklandi	açıklandı	1
alinmış	alınmış	1
atilmasi	atılması	1
yapilacak	yapılacak	1
yakindaki	yakındaki	1
fermaninın	fermanının	1
Girnatalar	Gırnatalar	1
Kastilya’nin	Kastilya’nın	1
kalanindaki	kalanındaki	1
alind	alınd	1
Kralliğindan	Krallığından	1
fazlaydilar	fazlaydılar	1
düşrnanı	düşmanı	1
dernografik	demografik	1
yazann	yazarın	1
kalınak	kalmak	1
olduklari	oldukları	1
hayatinin	hayatının	1
bulunmamaktadir	bulunmamaktadır	1
siradan	sıradan	1
nasil	nasıl	1
aci	acı	1
kurallari	kuralları	1
kurallarina	kurallarına	1
Kadinlarin	Kadınların	1
Katalan	Katılan	1
duyduklari	duydukları	1
karşımiza	karşımıza	1
Kadinlar	Kadınlar	1
yazili	yazılı	1
sikintilarla	sıkıntılarla	1
akrabalarinin	akrabalarının	1
Makam'in	Makam'ın	1
uğrasyorlardi	uğraşyorlardı	1
kopartilan	kopartılan	1
aldiğimizda	aldığımızda	1
Müslümanliklarinin	Müslümanlıklarının	1
koyamadiklari	koyamadıkları	1
yoksullaştiğini	yoksullaştığını	1
Alfaquiler	Alfaquıler	1
yasaklaninca	yasaklanınca	1
parçalaninca	parçalanınca	1
sorgulandiklarinda	sorgulandıklarında	1
edebiyati	edebiyatı	1
yazilan	yazılan	1
karşıti	karşıtı	1
