note	book	page	result	score	quote
Venedik.md	Bir Amerikan Diplomatının İstanbul Anıları (Samuel S. Cox)	p. 146	updated		1195’den ölümüne değin Venedik dögelarının 41.si oldu. 1171’de Venedik bailosu o → 1195’den ölümüne değin Venedik dögelarının 41.si oldu. 1171’de Venedik bailosu o
Harem and the palace household.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 437	updated		Haremeyn-i $erifeyn ki butiin cihan Muslumanlar'mm merkez-i diyanetidir ve bu it → Haremeyn-i Şerifeyn ki bütün cihân Müslümanlar’ının merkez-i diyanetidir ve bu i
Harem and the palace household.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 437	updated		Haremeyn'in Kabe-i uzmasma, hazret-i resUlun atebe-i ulyasma istinad edecek kuwe → Haremeyn’in Kâbe-i uzmasına, hazret-i resûlün atebe-i ulyasına istinâd edecek ku
Harem and the palace household.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 147	unmatched	0	Yenekten .Wi.ibi:n Efend.i$c gittik, Haremi vxlidcsine .Rilmi*. bir evi iyi id.i
Harem and the palace household.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 316	unmatched	0	Bura bir *h.re håk.im hor taraT.n. bir Ali Raza Efendi. $erki gii,mif haremi ui"
Harem and the palace household.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 319	updated		Harem dgiregi ise alfak t.avanll üq-dort cdAdan iberet. Yazd'. ki- guzel Buhara  → ise alçak tavanh ūç-dört odadan ibaret. Yazık ki, güzel Buhara tarz-1 mimarisi y
Harem and the palace household.md	Enver (Murat Bardakçı)	p. 257	updated		ettiğini yazıyordu: “...Halil'in Trabzon'a vardığı fakat Mustafa Kemal Paşa'nın  → ettiğini yazıyordu: “...Halil'in Trabzon'a vardığı fakat Mustafa Kemal Paşa'nın 
Harem and the palace household.md	Şahbaba (Murat Bardakçı)	p. 341	updated		Haremdeki hazrrhklar 1,5 saat sürdü ve Halife'yle beraber tic kadrm, $ehsuvar, H → Haremdeki hazırlıklar 1,5 saat sürdü ve Halife’yle beraber üç kadını, Şehsuvar, 
Harem and the palace household.md	Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız)	p. 487	unmatched	0	…en muhaberatta "aslı nezd-i alide mahfuz harita"dan bahsedilmiş olma- Muahharen
Harem and the palace household.md	Trablusgarp Savaşı ve Türk-İtalyan İlişkileri (Timothy W. Childs)	p. 79	updated		Y1llar sonra De Martino, Osmanh padi�ahm1 �õyle tasvir edecekti: Sultan Abdülham → Yllar sonra De Martino, Osmanlı padişahını şöyle tasvir edecekti: Sultan Abdülha
Janissaries.md	Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 89	unmatched	85	Unvanlar›ndaki “Hâssâ
Köprülü family.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 101	unmatched	0	MENZIL TEŞKILATI VE KURULUŞLAR 89 Çeşitli ihtimaliere göre seferberlik halinde S
Köprülü family.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 22	updated		Bölükbap'mn, Peyamtn 20 1329 (5 Mart 1914) ekinde yay•mlanan "FOLK LORE" ba911k1 → FOLK LORE Peyam'In 20 Şubat 1329 (5 Mart 1914) tarihli ekinde .y yayımlanan "FOL
Köprülü family.md	Tarih Boyunca Türk Atasözleri (Aydın Oy)	p. 380	updated		"Ankara Halkevi yayınlarından '' 1 12 - Koşay, Harnit Zübeyr: Türkiye Düğünleri  → Ankara Halkevi yayınlarından '' 1 12 - Koşay, Harnit Zübeyr: Türkiye Düğünleri Ü
Viyana.md	İstiklal Harbi ve Anadolu (Mehmet Turgut Argun)	p. 244	unmatched	0	Viyana Veteriner Yüksekokulu'ndan 1930'da doktora derecesi aldı. Askeri Veterine
Caliphate.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 134	updated		"Nite ki padi$ahln halifesi bir nice zaman padiiah huzurunda saltanat türesini v → kimilerini olduğu gibi aktaralım: memleket âdetini öğrenir". (XV. yy.). "Il ilde
