book	page	unknown_ratio	words	source
Sultanın Paşaları (Olivier Bouquet)	p. 502	0.46	443	ocr
Talât Paşa'nın Evrak-ı Metrukesi (Murat Bardakçı)	p. 2	0.26	19	text
Tarih Boyunca Türk Atasözleri (Aydın Oy)	p. 165	0.29	116	text
Trablusgarp Savaşı ve Türk-İtalyan İlişkileri (Timothy W. Childs)	p. 11	0.36	44	ocr
Türk Halkbilimi (Sedat Veyis Örnek)	p. 56	0.27	15	ocr
Türk Halkbilimi (Sedat Veyis Örnek)	p. 79	0.30	169	ocr
Türk Halkbilimi (Sedat Veyis Örnek)	p. 219	0.26	318	ocr
Türkiye'de Hükümetler (İhsan Güneş)	p. 144	0.27	146	ocr
Zabit ve Kumandan ile Hasbihal (Mustafa Kemal)	p. 2	0.27	15	text
İstanbul'da Hoş Bir Sada (Anna Grosser-Rilke)	p. 1	0.32	19	text
İstanbul'da Ramazan (François Georgeon)	p. 4	0.35	17	text
İstiklal Harbi ve Anadolu (Mehmet Turgut Argun)	p. 224	0.68	60	text
İstiklal Harbi ve Anadolu (Mehmet Turgut Argun)	p. 225	0.33	105	text
İttihad ve Terakki Yargılamaları I (Erol Şadi Erdinç)	p. 4	0.26	19	text
İttihadçı'nın Sandığı (Murat Bardakçı)	p. 74	0.27	49	ocr
İttihadçı'nın Sandığı (Murat Bardakçı)	p. 379	0.27	30	ocr
İttihadçı'nın Sandığı (Murat Bardakçı)	p. 553	0.32	71	ocr
Şahbaba (Murat Bardakçı)	p. 257	0.27	229	ocr
Şahbaba (Murat Bardakçı)	p. 264	0.25	251	ocr
Şahbaba (Murat Bardakçı)	p. 268	0.26	278	ocr
Şahbaba (Murat Bardakçı)	p. 270	0.39	216	ocr
Şahbaba (Murat Bardakçı)	p. 303	0.36	174	ocr
Şahbaba (Murat Bardakçı)	p. 311	0.27	155	ocr
Şahbaba (Murat Bardakçı)	p. 328	0.30	218	ocr
Şahbaba (Murat Bardakçı)	p. 334	0.47	262	ocr
Şahbaba (Murat Bardakçı)	p. 338	0.33	206	ocr
Şahbaba (Murat Bardakçı)	p. 365	0.28	250	ocr
Şahbaba (Murat Bardakçı)	p. 370	0.31	244	ocr
Şahbaba (Murat Bardakçı)	p. 399	0.42	193	ocr
Şahbaba (Murat Bardakçı)	p. 403	0.34	259	ocr
Şahbaba (Murat Bardakçı)	p. 438	0.35	312	ocr
Şahbaba (Murat Bardakçı)	p. 439	0.46	223	ocr
Şahbaba (Murat Bardakçı)	p. 445	0.36	137	ocr
Şahbaba (Murat Bardakçı)	p. 463	0.39	123	ocr
Şahbaba (Murat Bardakçı)	p. 470	0.28	111	ocr
Şahbaba (Murat Bardakçı)	p. 504	0.27	127	ocr
Şahbaba (Murat Bardakçı)	p. 530	0.51	73	ocr
Şahbaba (Murat Bardakçı)	p. 537	0.29	201	ocr
Şahbaba (Murat Bardakçı)	p. 544	0.35	68	ocr
Şahbaba (Murat Bardakçı)	p. 565	0.26	129	ocr
Şahbaba (Murat Bardakçı)	p. 624	0.47	43	ocr
Şahbaba (Murat Bardakçı)	p. 629	0.30	30	ocr
Şahbaba (Murat Bardakçı)	p. 632	0.55	29	ocr
Şahbaba (Murat Bardakçı)	p. 634	0.57	21	ocr
Şahbaba (Murat Bardakçı)	p. 664	0.29	272	ocr
Şahbaba (Murat Bardakçı)	p. 710	0.74	47	ocr
