original	corrected	count
tamamlanacakti	tamamlanacaktı	1
kapsandiği	kapsandığı	1
hatlarinın	hatlarının	1
hattindan	hattından	1
Tepebaşi	Tepebaşı	1
bağlaniyordu	bağlanıyordu	1
ayrilacakti	ayrılacaktı	1
Unkapani	Unkapanı	1
ayağınin	ayağının	1
Ciliz	Cılız	1
uzatiliyor	uzatılıyor	1
bağlantiya	bağlantıya	1
rayli	raylı	1
uzatilacakti	uzatılacaktı	1
açıklanmamişsa	açıklanmamışsa	1
Edirnekapi	Edirnekapı	1
bağlantidan	bağlantıdan	1
taraflariyla	taraflarıyla	1
bağlanacakti	bağlanacaktı	1
atilmasina	atılmasına	1
gerçekleşmemise	gerçekleşmemişe	1
plancilarinın	plancılarının	1
tasarimlarina	tasarımlarına	1
çıkacakti	çıkacaktı	1
Kumkapi'dan	Kumkapı'dan	1
yarimadayi	yarımadayı	1
yeraltindan	yeraltından	1
yeraltina	yeraltına	1
Usküdar	Üsküdar	1
haritasini	haritasını	1
yayimlanmiştır	yayımlanmıştır	1
yayimladiğ1	yayımladığı	1
bulunamamişsa	bulunamamışsa	1
Topkap1	Topkapı	1
Sarayi'nin	Sarayı'nın	1
bağlayacakti	başlayacaktı	1
bulacakti	bulacaktı	1
aşamali	aşamalı	1
kâgire	kagire	1
Meydani'ndan	Meydanı'ndan	1
Meydani'n	Meydanı'n	1
Edirnekapi’ya	Edirnekapı’ya	1
Eğrikapi’ya	Eğrikapı’ya	1
ulaşacakti	ulaşacaktı	1
ulaşimi	ulaşımı	1
forumlari	forumları	1
Surlari'ndaki	Surları'ndakı	1
kapilara	kapılara	1
Bouvard'in	Bouvard'ın	1
kanadi	kanadı	1
iddiali	iddialı	1
uygulanmasinın	uygulanmasının	1
imkânsizliği	imkansızlığı	1
boyutlarinin	boyutlarının	1
dayattiğ1	dayattığ1	1
yikilacakti	yıkılacaktı	1
Kapaliçarşınin	Kapalıçarşının	1
Kapaliçarşinin	Kapalıçarşının	1
kalaninın	kalanının	1
yaratilmişti	yaratılmıştı	1
tililaşmanin	tılılaşmanın	1
kavramiyla	kavramıyla	1
ayrışmasini	ayrışmasını	1
saray1	sarayı	1
ikametgâhinın	ikametgahının	1
Balyan’di	Balyan’dı	1
uzunlamasina	uzunlamasına	1
binadir	binadır	1
çarpiyordu	çarpıyordu	1
Balyan’in	Balyan’ın	1
bağlantisı	bağlantısı	1
sağlaniyordu	sağlanıyordu	1
farklidır	farklıdır	1
Geni	Geri	1
inçasiyla	incasıyla	1
üsluptaydi	üsluptaydı	1
saraylarininkinden	saraylarınınkınden	1
binalardir	binalardır	1
görülmüyorlardi	görülmüyorlardı	1
Yildiz’daki	Yıldız’dakı	1
reformlariyla	reformlarıyla	1
yargilari	yargıları	1
kaliplarin	kalıpların	1
manzarasini	manzarasını	1
MIMARI	MİMARİ	1
USI	İŞİ	1
Ofanfik	Ofanfık	1
Pasaji	Pasajı	1
dükkânlarinda	dükkanlarında	1
tüccarlardi	tüccarlardı	1
yapit	yapıt	1
yüzyl	yüzyı	1
lmadi	madı	1
