original	corrected	count
sağlandiğini	sağlandığını	2
Timarli	Tımarlı	2
Kizilkilise	Kızılkilise	2
ulûfeli	ulufeli	2
artirdiği	artırdığı	2
donatimi	donatımı	2
tüccarlarindan	tüccarlarından	2
yaratmaktaydi	yaratmaktaydı	2
anlaşilacak	anlaşılacak	2
yaygindır	yaygındır	2
Meşâyih	Meşayih	2
Dürrizâdeler	Dürrizadeler	2
Efendizâdeler	Efendizadeler	2
almaktadirlar	almaktadırlar	2
karşilaştirmalar	karşılaştırmalar	2
artirmaktadir	artırmaktadır	2
ayirima	ayırıma	2
ayirici	ayırıcı	2
dağitmasi	dağıtması	2
çağlarinda	çağlarında	2
tartimak	tartımak	2
Vilâyetlerdeki	Vilayetlerdeki	2
eyâleti	eyaleti	2
konmamiş	konmamış	2
toplumlari	toplumları	2
alinamaz	alınamaz	2
ulemâsina	ulemasına	2
kadiya	kadıya	2
kanitlamaktadir	kanıtlamaktadır	2
taninmaktadir	tanınmaktadır	2
nüshanin	nüshanın	2
Kanije	Kanıje	2
menkibesinin	menkıbesinin	2
Yazmanin	Yazmanın	2
kaydina	kaydına	2
Menâkibnâmenin	Menakıbnâmenin	2
Menâkibnâmede	Menakıbnâmede	2
Zindani’na	Zindanı’na	2
vakfina	vakfına	2
idamini	idamını	2
kuruluşlarina	kuruluşlarına	2
Anlarin	Anların	2
anlatima	anlatıma	2
Hizir’in	Hızır’ın	2
tutulmaktadir	tutulmaktadır	2
menkibelerinde	menkıbelerinde	2
vurgulanmasi	vurgulanması	2
ulemâsinin	ulemasının	2
yaziciliği	yazıcılığı	2
menâkibnâmeler	menakıbnâmeler	2
kasabasina	kasabasına	2
hazirlatip	hazırlatıp	2
ağalarinin	ağalarının	2
Hisari’ni	Hisarı’nı	2
lisanindan	lisanından	2
alib	alıb	2
yaptirir	yaptırır	2
ruhbânlarin	ruhbanların	2
budurki	budurkı	2
idemedikleri	ıdemedikleri	2
pâdiâh	padiâh	2
tedârik	tedarik	2
elhamd’ullillah	elhamd’ullıllah	2
cânibine	canibine	2
kayiklar	kayıklar	2
gice	gıçe	2
Ayasofiyye’ye	Ayasofıyye’ye	2
Ayasofiyye	Ayasofıyye	2
kanisindayiz	kanısındayız	2
kitaplarindaki	kitaplarındaki	2
kuşağin	kuşağın	2
rastlanmaktaydi	rastlanmaktaydı	2
damadin	damadın	2
yapidan	yapıdan	2
karşılaştirdiğimizda	karşılaştırdığımızda	2
nâmzedlik	namzedlik	2
yaşamasini	yaşamasını	2
Joaillier	Joaıllıer	2
başlamaktaydi	başlamaktaydı	2
iskâni	iskanı	2
Kanunnâmesi	Kanunnamesi	2
çokkarili	çokkarılı	2
Nisvân	Nisvan	2
masraflarin	masrafların	2
azaldiği	azaldığı	2
kaynaklik	kaynaklık	2
sayilmaktadir	sayılmaktadır	2
araştirmalarin	araştırmaların	2
Gürpinar	Gürpınar	2
yapisindaki	yapısındaki	2
çalian	çalıan	2
imâret	imaret	2
başmimarinin	başmimarının	2
yapimini	yapımını	2
sivaci	sıvacı	2
lağimci	lağımcı	2
duvarci	duvarcı	2
onarimi	onarımı	2
tamiratin	tamiratın	2
lağim	lağım	2
mimarlarinca	mimarlarınca	2
yiktirilirdi	yıktırılırdı	2
uzatilan	uzatılan	2
Rumlarinin	Rumlarının	2
kiraathane	kıraathane	2
Fermani’ndan	Fermanı’ndan	2
baskiyla	baskıyla	2
değiiklik	değiıklık	2
loncalarin	loncaların	2
hamali	hamalı	2
kolaylaştirmaktadir	kolaylaştırmaktadır	2
fonksiyonlarini	fonksiyonlarını	2
kirâathâne	kıraathane	2
penâhîlerine	penahilerine	2
bâbinda	babında	2
yanginlarda	yangınlarda	2
tanzîmine	tanzimine	2
takrîrinde	takririnde	2
baltalarin	baltaların	2
bağinti	bağıntı	2
Rodosçuk’taki	Rodosçuk’takı	2
bağlamaktir	bağlamaktır	2
staatliche	staatlıche	2
civarin	civarın	2
bostanlarin	bostanların	2
davalarinin	davalarının	2
kaçakçiliğa	kaçakçılığa	2
Poşi	Posı	2
miktardadir	miktardadır	2
kaçmi	kaçmı	2
ulaşimda	ulaşımda	2
organlarin	organların	2
yoğunlaştiği	yoğunlaştığı	2
donatim	donatım	2
Fatimîler	Fatımîler	2
aşmasi	aşması	2
ağini	ağını	2
bağlanmasinda	bağlanmasında	2
limanlarinin	limanlarının	2
Kiray	Kıray	2
Rusyasi’nin	Rusyası’nın	2
Bartin’a	Bartın’a	2
kaymakamin	kaymakamın	2
yüzyillardaki	yüzyıllardaki	2
kolaylaşmişti	kolaylaşmıştı	2
Şenyapili	Senyapılı	2
bedelati	bedelatı	2
hinterlandi	hinterlandı	2
muteberânindan	muteberanından	2
kumpanyanin	kumpanyanın	2
şansini	şansını	2
Nallihan	Nallıhan	2
kazalarinda	kazalarında	2
Protestanliğin	Protestanlığın	2
kazasinin	kazasının	2
ihracatinin	ihracatının	2
civarindadir	civarındadır	2
sandiklarinin	sandıklarının	2
mamulâtini	mamulatını	2
kumpanyasinin	kumpanyasının	2
ulaşiminin	ulaşımının	2
gruplariyla	gruplarıyla	2
raporlarinin	raporlarının	2
artirmiştir	artırmıştır	2
tezatli	tezatlı	2
vakiadir	vakıadır	2
Ballassarian	Ballassarıan	2
vilâyetde	vilayetde	2
Piraziz	Pirazız	2
Sâlnâmesi’nde	Salnamesi’nde	2
kumpanyalarinin	kumpanyalarının	2
Boyacidis	Boyacıdıs	2
Cermakian	Cermakıan	2
Mahokian	Mahokıan	2
Paregentanian	Paregentanıan	2
Sarafian	Sarafıan	2
loncasi	loncası	2
Vafiadis	Vafiadıs	2
azinliği	azınlığı	2
tarihyazici	tarihyazıcı	2
Brocquière	Brocquıère	2
Şukûfeciyân	Sukufeciyân	2
aldatilmiş	aldatılmış	2
literati	literatı	2
şansina	şansına	2
acentasi	acentası	2
raporlarindan	raporlarından	2
konsolosluklari	konsoloslukları	2
ithalatin	ithalatın	2
yayginlaşan	yaygınlaşan	2
imkânsizliklari	imkansızlıkları	2
